idx,class,conversation
10,일반 대화,"군생활은 진짜 어떻게 하는 거야? 키키
그냥 뭐... 눈 딱 감고 하다 보면 지나있다
키키 정말 경험 안 해봤지만 경험하기 싫오
키키 그래 평생 안 하면 좋지
키키 정말 평생 하지 않을 테야 키키
키키 근데 진짜 요새는 사건 사고가 잘 나오는 것 같다
그러니까 아까도 뉴스 보니까 뭐 쉬쉬했던데
예전보다는 사건이 잘 알려져서 다행이면서도 참 그렇다...
맞아 ㅜㅜ 오빠야 때는 막 이런 거 없었낭?
있었지 근데 나는 없었고 우리도 탈영하는 놈 있었고 뭐...
헐 대박! 탈영하는 사람도 있구나!
응응 약간 관심병사도 있고 뭐 그랬지
와우 진짜 다 있기는 있네 허헐
그렇지 키키 약간 게이인 친구도 있었고
으악... 키키 진짜 사회의 축소판이다
키키 맞다 키키 진짜 작은 사회지 뭐"
11,일반 대화,"기억나는 선생님 있음? 키키
나는 딱히... 항상 거기서 거기
아 그래? 키키 나도 막 연락하는 쌤들은 없음
키키 왜 예쁨 받았을 것 같은데
하도 사고 쳐서 키키 내 기억은 하지 싶다 키키
키키 아 그런 이유로? 키키 날라리였노
키키 쪼금 놀았지 중 2병 걸려서 키키
키키 조큼 논 건 맞제? 많이 아니고
그럼그럼 키키 남들 노는 만큼 논 거야 키키
키키 그러면 뭐 잘했네 키키 후회는 없나
당근 키키 아주 충분히 잘 놀았지 재밌었다 키키
키키 아니 뭘 하고 그리 놀았어? 궁금하노
키키 맨날 동네 탐방하고 돌아다녔지 키키
키키 막 술도 마시고 그런 건 아니제
키키 어허 조금 맛만 봤지 키키
그래 그러면 되었다 키키 잘했네 잘했어"
12,일반 대화,"지금 가족이랑은 같이 안 사는 거야?
그렇지 나는 자취하는 거지 부산에서
오 진짜 오빠야 못 본 지 좀 된 듯 키키 놀러 오셈
키키 가면 바쁘다 항상 정신없이 있다 간다
뭐야 여자친구 생겨서 그런 거 아니야
여자친구도 봐야 하고 친구도 보고 가족들이랑도 보내야니깐
키키 대구 일정이 바쁘네 정말
이이 키키 친구들 일정도 맞추고 해야 하니 바쁘더라고
키키 맞아 올 때 한 번에 다 해결해야 하니까
글치 키키 그래서 가끔 친구는 못 볼 때도 있다
악 키키 뭐 친구야 나중에 또 보면 되지 키키
키키 맞다 키키 일단 여자친구가 더 중요하지
맞아 키키 친구는 뭐 오라고 하면 되지
키키 맞다 키키 니는 뭐 대구에만 있나
옹 난 아직 대구에만 키키 나가야 하는데
키키 어디로 가고 싶은데?
가고 싶은 곳 있나"
13,일반 대화,"여자친구랑 결혼할 생각은 있음? 키키
생각은 있지만 뭐 모르지 키키
맞아 식장 들어갈 때까지는 모르는 일 키키
그렇지 키키 그래서 뭐 모르겠네? 당장 할 게 아니니깐
그건 그래 키키 급할 건 없지
이이 돈도 없고 키키 취업도 못했고
맞아 그것부터 해결해야지 키키
그래 취업이 급하다 나는 키키
키키 그것도 너무 급하게 하지 마 찬찬히 하세용 키키
키키 니는 안 급하나 나는 좀 조급하던데 요새는
나도 급하긴 한데 키키 급하게 하다가 체해
키키 그건 맞다 이상한 곳 들어갈 수도
옹 그래서 시간 낭비할 바에 차근차근 키키
맞다 키키 진짜 그 말이 맞는 것 같다
키키 그런데 차근차근 했는데 이상한 곳이면 우째 키키
아... 근데 안 이상한 곳 가기도 힘들다"
14,일반 대화,"오빠야도 강아지 키우나 키키
아니 나는 부산집에서는 도마뱀 키운다
키키 엄마 아빠도 아심?
응응 알지 키키 예전에는 델꼬 내려왔었다
오 대박 다들 안 무서워 하시네 키키
응응 누나야들이 첨에 별로 안 좋아했는데 이제는 좋아한다 키키
오 대박 키키 나도 도마뱀은 사진으로만 봤지 실제로 안 본 듯
생각보다 매력이 있는 친구야
오호 키키 키운 지 꽤 됐어?
이이 첫째는 잘 몰라서 금방 죽었고 둘째는 좀 되었지
아 벌써 2마리째구나?
어어 첫쨰한테 미안하지 ㅠㅠ
헉 ㅜㅜ 진짜 보통 수명이 어느 정도 돼?
10년에서 15년 된다고 알고 있어
와 진짜 오래 사네 그래도
응응 그래서 첫째가 더 미안하지 ㅠㅠ"
15,일반 대화,"오빠야는 스포츠 잘할 것 같다 키키
나는 좋아해 키키 이것저것 다
오 축구 농구 다 함? 키키
응응 근데 축구를 제일 좋아해
오 축구 잘할 것 같음 키키
축구는 꾸준히 했는데 코로나 때문에 못하지
아쉽네 ㅜㅜ 운동 하나 꾸준히 하면 좋은데
그니깐 진짜 너무 아쉽다 빨리 끝나면 좋겠다
맞아 ㅜㅜ 언제 끝나지 코로나는
일단 올해는 안될 것 같다
ㅜㅜ 올해는 벌써 반이 지나 버렸네
그니깐... 이미 하반기인걸 ㅠㅠ
글쵸 ㅜㅜ 어휴 시간이 왜 이렇게 잘 가지
그니깐... 진짜 너무 시간이 빨리 가
ㅜㅜ 정말 갈수록 시간이 너무 잘 가요
맞다 나이를 먹은 증거다"
16,일반 대화,"게임 하는 것도 힘든 거 보니까 나이 먹었나 봐용 ㅜㅜ
키키 게임 좋아하긴 하나?
모바일 게임하는 거 좋아하는데 키키 요새 바빠서 잘 못 들어갔어요 키키
키키 오 무슨 게임 하는데
쿠키런이라고 그거 언니한테도 추천했는데 언니는 안 하네요 키키
키키 쿠키런 그거 진짜 옛날 게임 아니야?
그거랑 캐릭은 똑같은데 막 싸우는 버전으로 또 나왔어요 키키
아 구래? 오 재밌나?
키키 난 그런 게임은 잘 안 해서
키키 호호 조금 이따가 링크 보내도 되나요 키키
키키 아니 안 한다는데 보낸다구?
키키 재밌나? 하길래 관심을 조금 보이는 줄 알았네요 키키
키키 난 그런 게임을 안 해서 키키 재밌나 싶네
키키 오빠야도 빠질지도 몰라요
키키 아니면 배그도 폰으로 해요
키키 배그를 한다고 니가?
허허 절 무시하나요?
저 완전 잘하거든요? 키키
오 대박 키키 나중에 같이 할래?"
17,일반 대화,"요샌 휴양지 가는 게 더 좋은 것 같아요 키키
아 돌아다니는 곳 말고 쉴 수 있는 곳으로?
넵 키키 호캉스도 하고 싶고 키키
키키 맞다 진짜 나이가 들긴 했다
키키 오빠는 돌아다니는 거 좋아해요?
이이 나는 그래도 아직 좀 돌아다니는 게 좋은 것 같다
오 아직 체력이 팔팔하군요? 키키
키키 많이 못 돌아다녀 봐서 그런가 봐
왜 못 돌아다녔어요?
ㅜㅜ 공부 한다고용?
몰라 나는 놀러를 많이 간 것 같진 않아
오잉 왜 그러지 ㅜㅜ 취업하면 또 놀러 갈 시간이 없을 텐데
그러게 키키 많이 돌아다녔어야 했는데
ㅜㅜ 그런데 저도 뭐 잘 못 돌아다녔어요 이제 막 가보려고요
키키 오 동지네 키키
그래 지금이라도 돌아다니자
넵 하하 더 늦으면 진짜 못 갈까 봐 하하
키키 맞다 진짜 더 늦으면 돌아다니기 더 힘들ㅇ"
18,일반 대화,"날씨가 지금은 어때요?
비는 안 오죠?
이이 근데 금방이라도 올 것 같애
오잉 ㅜㅜ 태풍 지나간 거 아닌가
그니깐 생각보다 조용히 지나갔네 키키
일본으로 훅 가버렸나 봐요 키키
좋네 키키 잘 가라 태풍시키야
태풍 안녕 키키 우리나라 많은 피해 없어서 다행이에요
진짜 뭐든 피해가 없으면 다행이지
그건 그래요 진짜 어제 뉴스만 봐도 큰일 날 줄 알았는데
아 뉴스에서 피해가 있을 꺼라고 했어?
넵 어디 밑에 쪽에 선박 위험 있을 수 있다고 하고 유리창 뭐 붙이라고 하고 키키
아... 대박이다 진짜 조용히 지나가서 다행이다
엄청 큰 아이였나 봐요 키키
키키 진짜 태풍은 뭐 매번 오는 것 같노
글쵸 안 오고 지나가는 해가 없어요 키키
그니깐 뭐 이제는 여름만 오는 게 아니라 가을에도 오고"
19,일반 대화,"오 내일부터 백신 미접종자 추가 예약 진행한대요
오 아직 많은 건가? 못 맞은 사람이
500만 명이 있대요 키키 인센티브 준다는데 뭐지
엥 인센티브는 뭐야?
이제 맞음 돈 줘?
몰라요 키키 인구 80% 맞추기 도전한다고 난리
저 아직 예약 안 했는데
엥 니가 해봐 키키 인센티브 뭔지
키키 뭐지 그래도 하기 싫은데 키키
키키 왜 맞는 게 낫지 그러다 걸리면 어쩔려구
키키 그냥 걸릴래요 걸려도 그냥 일주일 열 나고 말던데
아니 그것도 사람마다 다르다잖아
키키 그건 그래요 백신이 부작용은 사망할 수도 있으니까
걸려서도 사망할 수도 있어... 키키
ㅜㅜ 그건 글쵸 휴 그래도 맞기 싫다
잘 생각해봐... 근데 진짜 다들 맞는데
ㅜㅜ 그건 그래요 정말 고민 됨
그래 다 맞을 때 맞는 게 나을 수 있어"
20,일반 대화,"오잉 미국에 유명 팝 스타가 백신 맞고 성불구 됐대요
엥 대박... 남자야? 여자야?
남자요 키키 결혼식 하려고 했다가 여자가 취소했대요
헐 대박이다... 그 정도야?
오 누구지 찾아봐야겠다
넵 헐 뭐야 그런데 괴담이라 하는 것도 있고
오... 뭐가 맞는지 ㅠㅠ
근데 진짜 워낙 부작용이 많으니깐
글쵸 진짜 이게 백신 때문인지도 모르고
그니깐 아닌지 맞는지도 모르니깐 문제야
맞아요 정말 아닌데 말했으면 좀 그렇다 공포 조장하고
맞아 우리 누나도 지금 계속 알러지 같이 올라오는 것 같던데
큰누나요? ㅜㅜ
그것도 백신 부작용인가요?
그런 것 같은데 뭐... 긴지 아닌지 알 수가 없지
맞아요 ㅜㅜ 이게 백신 때문인 건지 아닌지 알 수 없으니
그니깐 그게 문제인 것 같다
ㅜㅜ 진짜 뭔가 명쾌한 게 없으니 걱정
응응 걱정이 안될 수는 없다"
21,일반 대화,"오빠도 미용에 관심 있어요? 키키
나는 그닥... 니는 관심이 많나?
전 관심 많죠 키키
여자들 중에 관심 없는 사람 거의 없을걸요? 키키
키키 그건 맞다 우리 집 사람들도 그런데 뭐
글쵸 키키 그런데 요새는 남자들도 관심 많더라고요
맞다 키키 다들 관리하지 요새는
정말 키키 다들 관리하는 추세
근데 적당한 관리는 다들 좋은 것 같다
맞아요 키키 정말 자기 자신을 사랑하는 방법이 아닐까요? 키키
키키 맞아 과한 건 좀 싫긴 하지만
맞아요 키키 그건 또 너무 여자 같음
키키 맞아 키키 나도 그건 아직까지 보기 그렇더라
저도 키키 그건 좀 키키 막 너무 화장하고 그러면
맞제 키키 아직 좀 그런가 봐...
난 옛날 사람인가 봐
저도 키키 요새 애들은 어떻게 다닐지
키키 그니깐 키키 막 아이라인하고 빨간 립스틱은 좀 그래"
22,일반 대화,"건강은 잘 챙기고 있나요 키키
이미 많이 해쳤지 키키
아? 키키 건강을 왜 해치고 있어요?
논문 쓰고 한다고 대충 먹어서
ㅜㅜ 진짜 논문 너무 힘들죠?
응응 그래도 끝내서 너무 행복하지
정말 진짜 끝내서 다행 ㅜㅜ
너무 행복하다 글서 요새는 좀 챙겨 먹는 편
다행이네 오빠야 키키 맨날 사 먹낭?
맨날은 아닌데 거의 사 먹지 아무래도
키키 해 먹기 귀찮제?
혼자 있으면 그럴 듯
키키 진짜 누나야랑 같이 살 때는 많이 해 먹었는데
키키 그러니까 누나야 있어야겠네
키키 다시 오라 할까?
키키 ** 데리고
키키 다시 오라 캐라 키키 니 건강을 위해서
니? 오빠야한테 심하게 하네 키키
키키 히히 오빠야한테 쏘리 키키 너무 친근했네
키키 건강 챙길께 침착하자 우리"
23,일반 대화,"쇼핑몰로 오빠야도 많이 시키나? 키키
뭐 이것저것 시키지 키키 가기가 귀찮아
악 키키 오빠야 우리 언니 과네
니는 가서 잘 사나? 키키
키키 난 나가는 거 좋아해서 다이소 맨날 감 키키
오 키키 다이소는 진짜 한 개만 사러 가서 10개 사
맞아 키키 그리고 뭔가 돈 적게 쓰면서 재밌어 키키
맞아 키키 근데 또 제대로 된 게 없는 느낌도 들어
키키 맞아 키키 뭐 쓰려고 하면 쓸 수 있는 게 없옹 키키
키키 맞아 키키 근데도 또 사게 되더라
키키 계절마다 또 뭐가 나오고 매번 가도 잼씀 키키
키키 맞아 그런 것들이 항상 있더만
맞아 키키 젤 좋아해 그다음에 올리브영 키키
키키 올리브영은 근데 좀 비싸지 않나
키키 맞아 구경하고 나중에 쿠폰 생기면 사는 걸로 키키
키키 오 키키 쿠폰은 어떻게 생기는 건데"
24,일반 대화,"tv 프로그램 뭐 보는 거 있옹? 키키
나는 항상 보는 건 그것이 알고 싶다
아 오빠야 그알 팬이가 키키
난 무서워서 안 봐
키키 왜 무서워 얼마나 재밌는데
키키 몰라 뭔가 무서워 시간대도 늦게 하지 않음?
맞아 11시 넘어서 하니깐 키키
키키 그래서 뭔가 더 무서워 키키
그럴 수 있겠네 키키
미해결 사건들 보면 재밌어
키키 오호 뭔가 형사가 된 듯한 느낌인가 키키
키키 그냥 흥미진진해 키키
가끔 진짜 범인일 것 같은 사람이 나와
오 대박이다 키키 아니 그알은 취재진들이 미쳤어
키키 그니깐 진짜 열심히 일하시는 것 같애
경찰들도 못 밝혀낸 것도 밝혀내고 아주 짱!
맞아 키키 가끔 정치하면 좀 재미없지만
키키 아 정치 이야기할 때도 있구남
응응 정치나 뭐 이것저것 많이 해"
25,일반 대화,"영화 감독 기억나는 사람 있음? 키키
나는 그 유명한 사람 이름 뭐더라?
유명한 사람? 영화 어떤 거? 키키
그 설국열차 하고 있자나 봉준호?
아 설국열차 키키 맞아 대단하지
키키 기생충도 진짜 재밌게 봤어
맞아 나 처음에 제목 보고 안 보다가 봤는데 키키 넘 재밌어서 3번 봤옹 키키
키키 기생충을 그렇게 많이 봤다고?
옹 넘 잼더라공 키키 잘 만들었음
키키 오 그래도 나는 한 번 봤는데...
키키 재밌으면 여러 번 보는 스타일이라서 키키
키키 아니 어떤 부분이 그렇게 재밌었어
그 구성이 좋았던 것 같아 키키
키키 구성이요? 키키
오 구성이라고 하다니
키키 호호 나름 영화를 잘 본답니당 키키
그거 말고 추천작은요?"
